"ple0024","year","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","2009","West Germany","6711","1","1","1"
"Yes","2009","East Germany","2100","1","1","1"
"Yes","2010","West Germany","","","",""
"Yes","2010","East Germany","","","",""
"Yes","2011","West Germany","6298","1","1","1"
"Yes","2011","East Germany","1792","1","1","1"
"Yes","2012","West Germany","","","",""
"Yes","2012","East Germany","","","",""
"Yes","2013","West Germany","5214","1","1","1"
"Yes","2013","East Germany","1495","1","1","1"
"Yes","2014","West Germany","","","",""
"Yes","2014","East Germany","","","",""
"Yes","2015","West Germany","8356","1","1","1"
"Yes","2015","East Germany","1865","1","1","1"
"Yes","2016","West Germany","","","",""
"Yes","2016","East Germany","","","",""
"Yes","2017","West Germany","8592","1","1","1"
"Yes","2017","East Germany","1993","1","1","1"
"Yes","2018","West Germany","","","",""
"Yes","2018","East Germany","","","",""
"Yes","2019","West Germany","7203","1","1","1"
"Yes","2019","East Germany","1694","1","1","1"
