"year","bula_h","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","Baden-W?rttemberg","Rural Area","5.94","6","213","4.67","5.33","6.67","7","7","5.8","6.08","1.33","7","5.66666650772095","6"
"2005","Baden-W?rttemberg","Urban Area","5.76","6","2311","4.33","5.33","6.67","7","7","5.72","5.8","1","7","6","6"
"2005","Bavaria","Rural Area","5.89","6","1456","4.67","5.33","6.67","7","7","5.84","5.94","1","7","6","6"
"2005","Bavaria","Urban Area","5.89","6","1448","4.67","5.33","6.67","7","7","5.84","5.94","1","7","6","6"
"2005","Berlin","Rural Area","","","","","","","","","","","","","",""
"2005","Berlin","Urban Area","5.76","6","759","4.33","5","6.67","7","7","5.69","5.83","1","7","5.66666650772095","6"
"2005","Brandenburg","Rural Area","5.99","6.33","810","4.67","5.33","6.67","7","7","5.93","6.05","2","7","6","6.33333349227905"
"2005","Brandenburg","Urban Area","6.03","6","78","5","5.67","6.67","7","7","5.84","6.22","2.67","7","6","6.33333349227905"
"2005","Bremen","Rural Area","","","","","","","","","","","","","",""
"2005","Bremen","Urban Area","5.94","6.33","147","4.67","5.33","7","7","7","5.77","6.11","1.33","7","6","6.66666650772095"
"2005","Hamburg","Rural Area","","","","","","","","","","","","","",""
"2005","Hamburg","Urban Area","5.66","5.98","291","4.33","5","6.33","7","7","5.56","5.76","2.33","7","5.66666650772095","6"
"2005","Hesse","Rural Area","5.92","6","250","4.67","5.33","7","7","7","5.8","6.04","2.33","7","6","6.33333349227905"
"2005","Hesse","Urban Area","5.83","6","1118","4.67","5.33","6.67","7","7","5.78","5.88","2.67","7","6","6"
"2005","Lower Saxony","Rural Area","5.94","6.33","880","4.67","5.33","6.67","7","7","5.87","6.01","1","7","6","6.33333349227905"
"2005","Lower Saxony","Urban Area","5.86","6","912","4.33","5.33","6.67","7","7","5.8","5.92","1","7","6","6"
"2005","Mecklenburg-Western Pomerania","Rural Area","6.02","6.33","436","4.67","5.33","6.67","7","7","5.94","6.1","2.67","7","6","6.33333349227905"
"2005","Mecklenburg-Western Pomerania","Urban Area","6.45","6.67","69","5.67","6","7","7","7","6.3","6.6","4.33","7","6","6.66666650772095"
"2005","North Rhine-Westphalia","Rural Area","6.12","6.33","105","5","5.67","7","7","7","5.93","6.31","2.5","7","6","6.66666650772095"
"2005","North Rhine-Westphalia","Urban Area","5.93","6","4256","4.67","5.33","6.67","7","7","5.9","5.96","1.33","7","6","6"
"2005","Rhineland-Palatinate,Saarland","Rural Area","5.85","6","294","4.67","5.33","6.67","7","7","5.74","5.96","2.33","7","6","6"
"2005","Rhineland-Palatinate,Saarland","Urban Area","5.94","6","943","4.67","5.33","6.67","7","7","5.88","6","2.67","7","6","6.33333349227905"
"2005","Saxony","Rural Area","5.9","6","762","4.67","5.33","6.67","7","7","5.84","5.96","1","7","6","6.33333349227905"
"2005","Saxony","Urban Area","5.91","6","763","4.67","5.33","6.67","7","7","5.84","5.98","1","7","6","6.33333349227905"
"2005","Saxony-Anhalt","Rural Area","5.97","6","661","4.67","5.33","6.67","7","7","5.9","6.04","2.67","7","6","6.33333349227905"
"2005","Saxony-Anhalt","Urban Area","6.06","6","234","5","5.67","6.67","7","7","5.95","6.17","3","7","6","6.33333349227905"
"2005","Schleswig-Holstein","Rural Area","6.02","6.33","370","4.67","5.5","6.67","7","7","5.92","6.12","2.67","7","6","6.33333349227905"
"2005","Schleswig-Holstein","Urban Area","6","6.33","277","4.33","5.33","7","7","7","5.88","6.12","3.33","7","6.33333349227905","6.66666650772095"
"2005","Thuringia","Rural Area","5.86","6","618","4.67","5.33","6.67","7","7","5.79","5.93","2.67","7","6","6"
"2005","Thuringia","Urban Area","5.98","6","274","4.67","5.33","6.67","7","7","5.87","6.09","3.33","7","6","6"
"2006","Baden-W?rttemberg","Rural Area","","","","","","","","","","","","","",""
"2006","Baden-W?rttemberg","Urban Area","","","","","","","","","","","","","",""
"2006","Bavaria","Rural Area","","","","","","","","","","","","","",""
"2006","Bavaria","Urban Area","","","","","","","","","","","","","",""
"2006","Berlin","Rural Area","","","","","","","","","","","","","",""
"2006","Berlin","Urban Area","","","","","","","","","","","","","",""
"2006","Brandenburg","Rural Area","","","","","","","","","","","","","",""
"2006","Brandenburg","Urban Area","","","","","","","","","","","","","",""
"2006","Bremen","Rural Area","","","","","","","","","","","","","",""
"2006","Bremen","Urban Area","","","","","","","","","","","","","",""
"2006","Hamburg","Rural Area","","","","","","","","","","","","","",""
"2006","Hamburg","Urban Area","","","","","","","","","","","","","",""
"2006","Hesse","Rural Area","","","","","","","","","","","","","",""
"2006","Hesse","Urban Area","","","","","","","","","","","","","",""
"2006","Lower Saxony","Rural Area","","","","","","","","","","","","","",""
"2006","Lower Saxony","Urban Area","","","","","","","","","","","","","",""
"2006","Mecklenburg-Western Pomerania","Rural Area","","","","","","","","","","","","","",""
"2006","Mecklenburg-Western Pomerania","Urban Area","","","","","","","","","","","","","",""
"2006","North Rhine-Westphalia","Rural Area","","","","","","","","","","","","","",""
"2006","North Rhine-Westphalia","Urban Area","","","","","","","","","","","","","",""
"2006","Rhineland-Palatinate,Saarland","Rural Area","","","","","","","","","","","","","",""
"2006","Rhineland-Palatinate,Saarland","Urban Area","","","","","","","","","","","","","",""
"2006","Saxony","Rural Area","","","","","","","","","","","","","",""
"2006","Saxony","Urban Area","","","","","","","","","","","","","",""
"2006","Saxony-Anhalt","Rural Area","","","","","","","","","","","","","",""
"2006","Saxony-Anhalt","Urban Area","","","","","","","","","","","","","",""
"2006","Schleswig-Holstein","Rural Area","","","","","","","","","","","","","",""
"2006","Schleswig-Holstein","Urban Area","","","","","","","","","","","","","",""
"2006","Thuringia","Rural Area","","","","","","","","","","","","","",""
"2006","Thuringia","Urban Area","","","","","","","","","","","","","",""
"2007","Baden-W?rttemberg","Rural Area","","","","","","","","","","","","","",""
"2007","Baden-W?rttemberg","Urban Area","","","","","","","","","","","","","",""
"2007","Bavaria","Rural Area","","","","","","","","","","","","","",""
"2007","Bavaria","Urban Area","","","","","","","","","","","","","",""
"2007","Berlin","Rural Area","","","","","","","","","","","","","",""
"2007","Berlin","Urban Area","","","","","","","","","","","","","",""
"2007","Brandenburg","Rural Area","","","","","","","","","","","","","",""
"2007","Brandenburg","Urban Area","","","","","","","","","","","","","",""
"2007","Bremen","Rural Area","","","","","","","","","","","","","",""
"2007","Bremen","Urban Area","","","","","","","","","","","","","",""
"2007","Hamburg","Rural Area","","","","","","","","","","","","","",""
"2007","Hamburg","Urban Area","","","","","","","","","","","","","",""
"2007","Hesse","Rural Area","","","","","","","","","","","","","",""
"2007","Hesse","Urban Area","","","","","","","","","","","","","",""
"2007","Lower Saxony","Rural Area","","","","","","","","","","","","","",""
"2007","Lower Saxony","Urban Area","","","","","","","","","","","","","",""
"2007","Mecklenburg-Western Pomerania","Rural Area","","","","","","","","","","","","","",""
"2007","Mecklenburg-Western Pomerania","Urban Area","","","","","","","","","","","","","",""
"2007","North Rhine-Westphalia","Rural Area","","","","","","","","","","","","","",""
"2007","North Rhine-Westphalia","Urban Area","","","","","","","","","","","","","",""
"2007","Rhineland-Palatinate,Saarland","Rural Area","","","","","","","","","","","","","",""
"2007","Rhineland-Palatinate,Saarland","Urban Area","","","","","","","","","","","","","",""
"2007","Saxony","Rural Area","","","","","","","","","","","","","",""
"2007","Saxony","Urban Area","","","","","","","","","","","","","",""
"2007","Saxony-Anhalt","Rural Area","","","","","","","","","","","","","",""
"2007","Saxony-Anhalt","Urban Area","","","","","","","","","","","","","",""
"2007","Schleswig-Holstein","Rural Area","","","","","","","","","","","","","",""
"2007","Schleswig-Holstein","Urban Area","","","","","","","","","","","","","",""
"2007","Thuringia","Rural Area","","","","","","","","","","","","","",""
"2007","Thuringia","Urban Area","","","","","","","","","","","","","",""
"2008","Baden-W?rttemberg","Rural Area","","","","","","","","","","","","","",""
"2008","Baden-W?rttemberg","Urban Area","","","","","","","","","","","","","",""
"2008","Bavaria","Rural Area","","","","","","","","","","","","","",""
"2008","Bavaria","Urban Area","","","","","","","","","","","","","",""
"2008","Berlin","Rural Area","","","","","","","","","","","","","",""
"2008","Berlin","Urban Area","","","","","","","","","","","","","",""
"2008","Brandenburg","Rural Area","","","","","","","","","","","","","",""
"2008","Brandenburg","Urban Area","","","","","","","","","","","","","",""
"2008","Bremen","Rural Area","","","","","","","","","","","","","",""
"2008","Bremen","Urban Area","","","","","","","","","","","","","",""
"2008","Hamburg","Rural Area","","","","","","","","","","","","","",""
"2008","Hamburg","Urban Area","","","","","","","","","","","","","",""
"2008","Hesse","Rural Area","","","","","","","","","","","","","",""
"2008","Hesse","Urban Area","","","","","","","","","","","","","",""
"2008","Lower Saxony","Rural Area","","","","","","","","","","","","","",""
"2008","Lower Saxony","Urban Area","","","","","","","","","","","","","",""
"2008","Mecklenburg-Western Pomerania","Rural Area","","","","","","","","","","","","","",""
"2008","Mecklenburg-Western Pomerania","Urban Area","","","","","","","","","","","","","",""
"2008","North Rhine-Westphalia","Rural Area","","","","","","","","","","","","","",""
"2008","North Rhine-Westphalia","Urban Area","","","","","","","","","","","","","",""
"2008","Rhineland-Palatinate,Saarland","Rural Area","","","","","","","","","","","","","",""
"2008","Rhineland-Palatinate,Saarland","Urban Area","","","","","","","","","","","","","",""
"2008","Saxony","Rural Area","","","","","","","","","","","","","",""
"2008","Saxony","Urban Area","","","","","","","","","","","","","",""
"2008","Saxony-Anhalt","Rural Area","","","","","","","","","","","","","",""
"2008","Saxony-Anhalt","Urban Area","","","","","","","","","","","","","",""
"2008","Schleswig-Holstein","Rural Area","","","","","","","","","","","","","",""
"2008","Schleswig-Holstein","Urban Area","","","","","","","","","","","","","",""
"2008","Thuringia","Rural Area","","","","","","","","","","","","","",""
"2008","Thuringia","Urban Area","","","","","","","","","","","","","",""
"2009","Baden-W?rttemberg","Rural Area","5.79","6","192","4.33","5.33","6.67","7","7","5.64","5.94","1","7","5.66666650772095","6"
"2009","Baden-W?rttemberg","Urban Area","5.71","6","1914","4.33","5","6.33","7","7","5.67","5.75","1","7","6","6"
"2009","Bavaria","Rural Area","5.76","6","1379","4.33","5","6.67","7","7","5.71","5.81","2","7","6","6"
"2009","Bavaria","Urban Area","5.71","6","1235","4.33","5","6.33","7","7","5.66","5.76","2","7","5.66666650772095","6"
"2009","Berlin","Rural Area","","","","","","","","","","","","","",""
"2009","Berlin","Urban Area","5.67","5.67","686","4.33","5","6.67","7","7","5.59","5.75","2.67","7","5.66666650772095","6"
"2009","Brandenburg","Rural Area","5.81","6","729","4.33","5","6.67","7","7","5.74","5.88","2.67","7","6","6"
"2009","Brandenburg","Urban Area","6.09","6.33","65","5","5.67","6.67","7","7","5.9","6.28","4","7","6","6.33333349227905"
"2009","Bremen","Rural Area","","","","","","","","","","","","","",""
"2009","Bremen","Urban Area","5.59","5.67","119","4","5","6.33","7","7","5.39","5.79","2","7","5.66666650772095","6.33333349227905"
"2009","Hamburg","Rural Area","","","","","","","","","","","","","",""
"2009","Hamburg","Urban Area","5.5","5.67","269","4","5","6.33","7","7","5.38","5.62","2.33","7","5.66666650772095","6"
"2009","Hesse","Rural Area","5.82","6","219","4.33","5.33","6.67","7","7","5.71","5.93","2.67","7","5.66666650772095","6"
"2009","Hesse","Urban Area","5.73","6","999","4.33","5.33","6.33","7","7","5.67","5.79","2","7","5.66666650772095","6"
"2009","Lower Saxony","Rural Area","5.78","6","811","4.33","5.33","6.67","7","7","5.71","5.85","1.33","7","6","6"
"2009","Lower Saxony","Urban Area","5.78","6","826","4.33","5.33","6.67","7","7","5.71","5.85","1.67","7","6","6"
"2009","Mecklenburg-Western Pomerania","Rural Area","5.88","6","418","4.33","5.33","6.67","7","7","5.79","5.97","1","7","6","6.33333349227905"
"2009","Mecklenburg-Western Pomerania","Urban Area","6.12","6.33","58","4.67","5.67","6.67","7","7","5.89","6.35","3.67","7","6.33333349227905","6.66666650772095"
"2009","North Rhine-Westphalia","Rural Area","6.31","6.67","106","4.67","5.67","7","7","7","6.12","6.5","3.67","7","6","6.66666650772095"
"2009","North Rhine-Westphalia","Urban Area","5.8","6","3522","4.33","5.33","6.67","7","7","5.77","5.83","1","7","6","6"
"2009","Rhineland-Palatinate,Saarland","Rural Area","5.88","6","248","4.33","5.33","6.67","7","7","5.77","5.99","3","7","5.66666650772095","6"
"2009","Rhineland-Palatinate,Saarland","Urban Area","5.93","6","775","4.67","5.33","6.67","7","7","5.87","5.99","2.33","7","6","6.33333349227905"
"2009","Saxony","Rural Area","5.83","6","674","4.67","5.33","6.33","7","7","5.76","5.9","1.67","7","6","6"
