"ple0021","year","e11103","education","n","percent","lower_confidence","upper_confidence"
"Yes","2011","Full Time","lower secondary degree","235","1","1","1"
"Yes","2011","Full Time","secondary school degree","287","1","1","1"
"Yes","2011","Full Time","college entrance qualification","252","1","1","1"
"Yes","2011","Full Time","Other degree","45","1","1","1"
"Yes","2011","Full Time","no degree/no degree yet","7","","",""
"Yes","2011","Part Time","lower secondary degree","258","1","1","1"
"Yes","2011","Part Time","secondary school degree","261","1","1","1"
"Yes","2011","Part Time","college entrance qualification","135","1","1","1"
"Yes","2011","Part Time","Other degree","32","1","1","1"
"Yes","2011","Part Time","no degree/no degree yet","10","","",""
"Yes","2011","Not Working","lower secondary degree","1483","1","1","1"
"Yes","2011","Not Working","secondary school degree","538","1","1","1"
"Yes","2011","Not Working","college entrance qualification","358","1","1","1"
"Yes","2011","Not Working","Other degree","151","1","1","1"
"Yes","2011","Not Working","no degree/no degree yet","53","1","1","1"
"Yes","2012","Full Time","lower secondary degree","","","",""
"Yes","2012","Full Time","secondary school degree","","","",""
"Yes","2012","Full Time","college entrance qualification","","","",""
"Yes","2012","Full Time","Other degree","","","",""
"Yes","2012","Full Time","no degree/no degree yet","","","",""
"Yes","2012","Part Time","lower secondary degree","","","",""
"Yes","2012","Part Time","secondary school degree","","","",""
"Yes","2012","Part Time","college entrance qualification","","","",""
"Yes","2012","Part Time","Other degree","","","",""
"Yes","2012","Part Time","no degree/no degree yet","","","",""
"Yes","2012","Not Working","lower secondary degree","","","",""
"Yes","2012","Not Working","secondary school degree","","","",""
"Yes","2012","Not Working","college entrance qualification","","","",""
"Yes","2012","Not Working","Other degree","","","",""
"Yes","2012","Not Working","no degree/no degree yet","","","",""
"Yes","2013","Full Time","lower secondary degree","220","1","1","1"
"Yes","2013","Full Time","secondary school degree","308","1","1","1"
"Yes","2013","Full Time","college entrance qualification","244","1","1","1"
"Yes","2013","Full Time","Other degree","54","1","1","1"
"Yes","2013","Full Time","no degree/no degree yet","5","","",""
"Yes","2013","Part Time","lower secondary degree","245","1","1","1"
"Yes","2013","Part Time","secondary school degree","222","1","1","1"
"Yes","2013","Part Time","college entrance qualification","154","1","1","1"
"Yes","2013","Part Time","Other degree","48","1","1","1"
"Yes","2013","Part Time","no degree/no degree yet","14","","",""
"Yes","2013","Not Working","lower secondary degree","1338","1","1","1"
"Yes","2013","Not Working","secondary school degree","531","1","1","1"
"Yes","2013","Not Working","college entrance qualification","351","1","1","1"
"Yes","2013","Not Working","Other degree","142","1","1","1"
"Yes","2013","Not Working","no degree/no degree yet","43","1","1","1"
"Yes","2014","Full Time","lower secondary degree","","","",""
"Yes","2014","Full Time","secondary school degree","","","",""
"Yes","2014","Full Time","college entrance qualification","","","",""
"Yes","2014","Full Time","Other degree","","","",""
"Yes","2014","Full Time","no degree/no degree yet","","","",""
"Yes","2014","Part Time","lower secondary degree","","","",""
"Yes","2014","Part Time","secondary school degree","","","",""
"Yes","2014","Part Time","college entrance qualification","","","",""
"Yes","2014","Part Time","Other degree","","","",""
"Yes","2014","Part Time","no degree/no degree yet","","","",""
"Yes","2014","Not Working","lower secondary degree","","","",""
"Yes","2014","Not Working","secondary school degree","","","",""
"Yes","2014","Not Working","college entrance qualification","","","",""
"Yes","2014","Not Working","Other degree","","","",""
"Yes","2014","Not Working","no degree/no degree yet","","","",""
"Yes","2015","Full Time","lower secondary degree","236","1","1","1"
"Yes","2015","Full Time","secondary school degree","306","1","1","1"
"Yes","2015","Full Time","college entrance qualification","294","1","1","1"
"Yes","2015","Full Time","Other degree","85","1","1","1"
"Yes","2015","Full Time","no degree/no degree yet","10","","",""
"Yes","2015","Part Time","lower secondary degree","271","1","1","1"
"Yes","2015","Part Time","secondary school degree","323","1","1","1"
"Yes","2015","Part Time","college entrance qualification","194","1","1","1"
"Yes","2015","Part Time","Other degree","137","1","1","1"
"Yes","2015","Part Time","no degree/no degree yet","18","","",""
"Yes","2015","Not Working","lower secondary degree","1221","1","1","1"
"Yes","2015","Not Working","secondary school degree","642","1","1","1"
"Yes","2015","Not Working","college entrance qualification","390","1","1","1"
"Yes","2015","Not Working","Other degree","211","1","1","1"
"Yes","2015","Not Working","no degree/no degree yet","60","1","1","1"
"Yes","2016","Full Time","lower secondary degree","","","",""
"Yes","2016","Full Time","secondary school degree","","","",""
"Yes","2016","Full Time","college entrance qualification","","","",""
"Yes","2016","Full Time","Other degree","","","",""
"Yes","2016","Full Time","no degree/no degree yet","","","",""
"Yes","2016","Part Time","lower secondary degree","","","",""
"Yes","2016","Part Time","secondary school degree","","","",""
"Yes","2016","Part Time","college entrance qualification","","","",""
"Yes","2016","Part Time","Other degree","","","",""
"Yes","2016","Part Time","no degree/no degree yet","","","",""
"Yes","2016","Not Working","lower secondary degree","","","",""
"Yes","2016","Not Working","secondary school degree","","","",""
"Yes","2016","Not Working","college entrance qualification","","","",""
"Yes","2016","Not Working","Other degree","","","",""
