"year","bula_h","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","Baden-W?rttemberg","Rural Area","5.9","6","210","4","5","7","7","7","5.74","6.06","1","7","6","6"
"2005","Baden-W?rttemberg","Urban Area","5.91","6","2311","4","5","7","7","7","5.86","5.96","1","7","6","6"
"2005","Bavaria","Rural Area","5.9","6","1454","4","5","7","7","7","5.84","5.96","1","7","6","6"
"2005","Bavaria","Urban Area","5.84","6","1444","4","5","7","7","7","5.77","5.91","1","7","6","6"
"2005","Berlin","Rural Area","","","","","","","","","","","","","",""
"2005","Berlin","Urban Area","5.6","6","755","4","5","7","7","7","5.51","5.69","1","7","6","6"
"2005","Brandenburg","Rural Area","5.94","6","811","4","5","7","7","7","5.86","6.02","1","7","6","6"
"2005","Brandenburg","Urban Area","5.95","6","77","5","6","7","7","7","5.71","6.19","2","7","6","6"
"2005","Bremen","Rural Area","","","","","","","","","","","","","",""
"2005","Bremen","Urban Area","6","6","147","4","6","7","7","7","5.81","6.19","1","7","6","7"
"2005","Hamburg","Rural Area","","","","","","","","","","","","","",""
"2005","Hamburg","Urban Area","6.02","6","291","5","5","7","7","7","5.9","6.14","1","7","6","6"
"2005","Hesse","Rural Area","5.94","6","250","4","5","7","7","7","5.8","6.08","1","7","6","6"
"2005","Hesse","Urban Area","5.83","6","1114","4","5","7","7","7","5.76","5.9","1","7","6","6"
"2005","Lower Saxony","Rural Area","5.92","6","880","4","5","7","7","7","5.84","6","1","7","6","6"
"2005","Lower Saxony","Urban Area","5.99","6","908","5","5","7","7","7","5.91","6.07","1","7","6","6"
"2005","Mecklenburg-Western Pomerania","Rural Area","6.04","6","435","5","5","7","7","7","5.95","6.13","1","7","6","6"
"2005","Mecklenburg-Western Pomerania","Urban Area","6.02","6","69","4","5","7","7","7","5.74","6.3","1","7","6","7"
"2005","North Rhine-Westphalia","Rural Area","6.04","7","103","4","5","7","7","7","5.8","6.28","1","7","6","7"
"2005","North Rhine-Westphalia","Urban Area","5.89","6","4236","4","5","7","7","7","5.85","5.93","1","7","6","6"
"2005","Rhineland-Palatinate,Saarland","Rural Area","5.6","6","292","4","5","7","7","7","5.45","5.75","1","7","6","6"
"2005","Rhineland-Palatinate,Saarland","Urban Area","5.87","6","941","4","5","7","7","7","5.8","5.94","1","7","6","6"
"2005","Saxony","Rural Area","5.95","6","761","4","5","7","7","7","5.87","6.03","1","7","6","6"
"2005","Saxony","Urban Area","5.97","6","761","4","6","7","7","7","5.89","6.05","1","7","6","6"
"2005","Saxony-Anhalt","Rural Area","5.94","6","659","4","5","7","7","7","5.85","6.03","1","7","6","6"
"2005","Saxony-Anhalt","Urban Area","5.97","6","235","4","5","7","7","7","5.83","6.11","1","7","6","6"
"2005","Schleswig-Holstein","Rural Area","6.03","6","367","5","6","7","7","7","5.92","6.14","1","7","6","6"
"2005","Schleswig-Holstein","Urban Area","6.08","6","279","4","6","7","7","7","5.96","6.2","1","7","6","7"
"2005","Thuringia","Rural Area","5.74","6","618","4","5","7","7","7","5.64","5.84","1","7","6","6"
"2005","Thuringia","Urban Area","5.73","6","274","4","5","7","7","7","5.59","5.87","1","7","6","6"
"2006","Baden-W?rttemberg","Rural Area","","","","","","","","","","","","","",""
"2006","Baden-W?rttemberg","Urban Area","","","","","","","","","","","","","",""
"2006","Bavaria","Rural Area","","","","","","","","","","","","","",""
"2006","Bavaria","Urban Area","","","","","","","","","","","","","",""
"2006","Berlin","Rural Area","","","","","","","","","","","","","",""
"2006","Berlin","Urban Area","","","","","","","","","","","","","",""
"2006","Brandenburg","Rural Area","","","","","","","","","","","","","",""
"2006","Brandenburg","Urban Area","","","","","","","","","","","","","",""
"2006","Bremen","Rural Area","","","","","","","","","","","","","",""
"2006","Bremen","Urban Area","","","","","","","","","","","","","",""
"2006","Hamburg","Rural Area","","","","","","","","","","","","","",""
"2006","Hamburg","Urban Area","","","","","","","","","","","","","",""
"2006","Hesse","Rural Area","","","","","","","","","","","","","",""
"2006","Hesse","Urban Area","","","","","","","","","","","","","",""
"2006","Lower Saxony","Rural Area","","","","","","","","","","","","","",""
"2006","Lower Saxony","Urban Area","","","","","","","","","","","","","",""
"2006","Mecklenburg-Western Pomerania","Rural Area","","","","","","","","","","","","","",""
"2006","Mecklenburg-Western Pomerania","Urban Area","","","","","","","","","","","","","",""
"2006","North Rhine-Westphalia","Rural Area","","","","","","","","","","","","","",""
"2006","North Rhine-Westphalia","Urban Area","","","","","","","","","","","","","",""
"2006","Rhineland-Palatinate,Saarland","Rural Area","","","","","","","","","","","","","",""
"2006","Rhineland-Palatinate,Saarland","Urban Area","","","","","","","","","","","","","",""
"2006","Saxony","Rural Area","","","","","","","","","","","","","",""
"2006","Saxony","Urban Area","","","","","","","","","","","","","",""
"2006","Saxony-Anhalt","Rural Area","","","","","","","","","","","","","",""
"2006","Saxony-Anhalt","Urban Area","","","","","","","","","","","","","",""
"2006","Schleswig-Holstein","Rural Area","","","","","","","","","","","","","",""
"2006","Schleswig-Holstein","Urban Area","","","","","","","","","","","","","",""
"2006","Thuringia","Rural Area","","","","","","","","","","","","","",""
"2006","Thuringia","Urban Area","","","","","","","","","","","","","",""
"2007","Baden-W?rttemberg","Rural Area","","","","","","","","","","","","","",""
"2007","Baden-W?rttemberg","Urban Area","","","","","","","","","","","","","",""
"2007","Bavaria","Rural Area","","","","","","","","","","","","","",""
"2007","Bavaria","Urban Area","","","","","","","","","","","","","",""
"2007","Berlin","Rural Area","","","","","","","","","","","","","",""
"2007","Berlin","Urban Area","","","","","","","","","","","","","",""
"2007","Brandenburg","Rural Area","","","","","","","","","","","","","",""
"2007","Brandenburg","Urban Area","","","","","","","","","","","","","",""
"2007","Bremen","Rural Area","","","","","","","","","","","","","",""
"2007","Bremen","Urban Area","","","","","","","","","","","","","",""
"2007","Hamburg","Rural Area","","","","","","","","","","","","","",""
"2007","Hamburg","Urban Area","","","","","","","","","","","","","",""
"2007","Hesse","Rural Area","","","","","","","","","","","","","",""
"2007","Hesse","Urban Area","","","","","","","","","","","","","",""
"2007","Lower Saxony","Rural Area","","","","","","","","","","","","","",""
"2007","Lower Saxony","Urban Area","","","","","","","","","","","","","",""
"2007","Mecklenburg-Western Pomerania","Rural Area","","","","","","","","","","","","","",""
"2007","Mecklenburg-Western Pomerania","Urban Area","","","","","","","","","","","","","",""
"2007","North Rhine-Westphalia","Rural Area","","","","","","","","","","","","","",""
"2007","North Rhine-Westphalia","Urban Area","","","","","","","","","","","","","",""
"2007","Rhineland-Palatinate,Saarland","Rural Area","","","","","","","","","","","","","",""
"2007","Rhineland-Palatinate,Saarland","Urban Area","","","","","","","","","","","","","",""
"2007","Saxony","Rural Area","","","","","","","","","","","","","",""
"2007","Saxony","Urban Area","","","","","","","","","","","","","",""
"2007","Saxony-Anhalt","Rural Area","","","","","","","","","","","","","",""
"2007","Saxony-Anhalt","Urban Area","","","","","","","","","","","","","",""
"2007","Schleswig-Holstein","Rural Area","","","","","","","","","","","","","",""
"2007","Schleswig-Holstein","Urban Area","","","","","","","","","","","","","",""
"2007","Thuringia","Rural Area","","","","","","","","","","","","","",""
"2007","Thuringia","Urban Area","","","","","","","","","","","","","",""
"2008","Baden-W?rttemberg","Rural Area","","","","","","","","","","","","","",""
