"plh0106","year","sampreg","n","percent","lower_confidence","upper_confidence"
"Very important","1990","West Germany","1320","0.178690272605374","0.169779346225839","0.187601198984908"
"Very important","1990","East Germany","","","",""
"Important","1990","West Germany","3747","0.519304600468705","0.507683025595808","0.530926175341603"
"Important","1990","East Germany","","","",""
"Less important","1990","West Germany","1716","0.249890429940864","0.239819812882647","0.259961046999081"
"Less important","1990","East Germany","","","",""
"Quite unimportant","1990","West Germany","317","0.0521146969850577","0.0469448591576982","0.0572845348124171"
"Quite unimportant","1990","East Germany","","","",""
"Very important","1991","West Germany","","","",""
"Very important","1991","East Germany","","","",""
"Important","1991","West Germany","","","",""
"Important","1991","East Germany","","","",""
"Less important","1991","West Germany","","","",""
"Less important","1991","East Germany","","","",""
"Quite unimportant","1991","West Germany","","","",""
"Quite unimportant","1991","East Germany","","","",""
"Very important","1992","West Germany","1340","0.178779311868301","0.169780041882166","0.187778581854435"
"Very important","1992","East Germany","891","0.208422783335953","0.195773529483172","0.221072037188734"
"Important","1992","West Germany","3490","0.491425980179393","0.479684445870537","0.50316751448825"
"Important","1992","East Germany","2126","0.519989159195267","0.504430637224944","0.53554768116559"
"Less important","1992","West Germany","1716","0.256962768729836","0.24670012862666","0.267225408833013"
"Less important","1992","East Germany","804","0.221569920991635","0.208636575601721","0.23450326638155"
"Quite unimportant","1992","West Germany","418","0.07283193922247","0.066728721290488","0.078935157154452"
"Quite unimportant","1992","East Germany","140","0.0500181364771449","0.0432297418592226","0.0568065310950671"
"Very important","1993","West Germany","","","",""
"Very important","1993","East Germany","","","",""
"Important","1993","West Germany","","","",""
"Important","1993","East Germany","","","",""
"Less important","1993","West Germany","","","",""
"Less important","1993","East Germany","","","",""
"Quite unimportant","1993","West Germany","","","",""
"Quite unimportant","1993","East Germany","","","",""
"Very important","1994","West Germany","","","",""
"Very important","1994","East Germany","","","",""
"Important","1994","West Germany","","","",""
"Important","1994","East Germany","","","",""
"Less important","1994","West Germany","","","",""
"Less important","1994","East Germany","","","",""
"Quite unimportant","1994","West Germany","","","",""
"Quite unimportant","1994","East Germany","","","",""
"Very important","1995","West Germany","1523","0.185216903391536","0.176441449258366","0.193992357524706"
"Very important","1995","East Germany","772","0.195630449921017","0.182784220629854","0.208476679212179"
"Important","1995","West Germany","3901","0.501549091050356","0.490254351890468","0.512843830210245"
"Important","1995","East Germany","2146","0.559208913463227","0.543130874521632","0.575286952404822"
"Less important","1995","West Germany","1735","0.249584763791565","0.239808607358251","0.259360920224879"
