"ple0018","year","education","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","2009","lower secondary degree","West Germany","1449","1","1","1"
"Yes","2009","lower secondary degree","East Germany","534","1","1","1"
"Yes","2009","secondary school degree","West Germany","652","1","1","1"
"Yes","2009","secondary school degree","East Germany","476","1","1","1"
"Yes","2009","college entrance qualification","West Germany","627","1","1","1"
"Yes","2009","college entrance qualification","East Germany","235","1","1","1"
"Yes","2009","Other degree","West Germany","193","1","1","1"
"Yes","2009","Other degree","East Germany","12","","",""
"Yes","2009","no degree/no degree yet","West Germany","49","1","1","1"
"Yes","2009","no degree/no degree yet","East Germany","4","","",""
"Yes","2010","lower secondary degree","West Germany","","","",""
"Yes","2010","lower secondary degree","East Germany","","","",""
"Yes","2010","secondary school degree","West Germany","","","",""
"Yes","2010","secondary school degree","East Germany","","","",""
"Yes","2010","college entrance qualification","West Germany","","","",""
"Yes","2010","college entrance qualification","East Germany","","","",""
"Yes","2010","Other degree","West Germany","","","",""
"Yes","2010","Other degree","East Germany","","","",""
"Yes","2010","no degree/no degree yet","West Germany","","","",""
"Yes","2010","no degree/no degree yet","East Germany","","","",""
"Yes","2011","lower secondary degree","West Germany","1766","1","1","1"
"Yes","2011","lower secondary degree","East Germany","575","1","1","1"
"Yes","2011","secondary school degree","West Germany","830","1","1","1"
"Yes","2011","secondary school degree","East Germany","598","1","1","1"
"Yes","2011","college entrance qualification","West Germany","749","1","1","1"
"Yes","2011","college entrance qualification","East Germany","285","1","1","1"
"Yes","2011","Other degree","West Germany","281","1","1","1"
"Yes","2011","Other degree","East Germany","15","","",""
"Yes","2011","no degree/no degree yet","West Germany","67","1","1","1"
"Yes","2011","no degree/no degree yet","East Germany","8","","",""
"Yes","2012","lower secondary degree","West Germany","","","",""
"Yes","2012","lower secondary degree","East Germany","","","",""
"Yes","2012","secondary school degree","West Germany","","","",""
"Yes","2012","secondary school degree","East Germany","","","",""
"Yes","2012","college entrance qualification","West Germany","","","",""
"Yes","2012","college entrance qualification","East Germany","","","",""
"Yes","2012","Other degree","West Germany","","","",""
"Yes","2012","Other degree","East Germany","","","",""
"Yes","2012","no degree/no degree yet","West Germany","","","",""
"Yes","2012","no degree/no degree yet","East Germany","","","",""
"Yes","2013","lower secondary degree","West Germany","1736","1","1","1"
"Yes","2013","lower secondary degree","East Germany","559","1","1","1"
"Yes","2013","secondary school degree","West Germany","903","1","1","1"
"Yes","2013","secondary school degree","East Germany","683","1","1","1"
"Yes","2013","college entrance qualification","West Germany","858","1","1","1"
"Yes","2013","college entrance qualification","East Germany","304","1","1","1"
"Yes","2013","Other degree","West Germany","275","1","1","1"
"Yes","2013","Other degree","East Germany","21","","",""
"Yes","2013","no degree/no degree yet","West Germany","56","1","1","1"
"Yes","2013","no degree/no degree yet","East Germany","10","","",""
"Yes","2014","lower secondary degree","West Germany","","","",""
"Yes","2014","lower secondary degree","East Germany","","","",""
"Yes","2014","secondary school degree","West Germany","","","",""
"Yes","2014","secondary school degree","East Germany","","","",""
"Yes","2014","college entrance qualification","West Germany","","","",""
"Yes","2014","college entrance qualification","East Germany","","","",""
"Yes","2014","Other degree","West Germany","","","",""
"Yes","2014","Other degree","East Germany","","","",""
"Yes","2014","no degree/no degree yet","West Germany","","","",""
"Yes","2014","no degree/no degree yet","East Germany","","","",""
"Yes","2015","lower secondary degree","West Germany","1702","1","1","1"
"Yes","2015","lower secondary degree","East Germany","537","1","1","1"
"Yes","2015","secondary school degree","West Germany","1022","1","1","1"
"Yes","2015","secondary school degree","East Germany","758","1","1","1"
"Yes","2015","college entrance qualification","West Germany","951","1","1","1"
"Yes","2015","college entrance qualification","East Germany","310","1","1","1"
"Yes","2015","Other degree","West Germany","472","1","1","1"
"Yes","2015","Other degree","East Germany","47","1","1","1"
"Yes","2015","no degree/no degree yet","West Germany","92","1","1","1"
"Yes","2015","no degree/no degree yet","East Germany","10","","",""
"Yes","2016","lower secondary degree","West Germany","","","",""
"Yes","2016","lower secondary degree","East Germany","","","",""
"Yes","2016","secondary school degree","West Germany","","","",""
"Yes","2016","secondary school degree","East Germany","","","",""
"Yes","2016","college entrance qualification","West Germany","","","",""
"Yes","2016","college entrance qualification","East Germany","","","",""
"Yes","2016","Other degree","West Germany","","","",""
"Yes","2016","Other degree","East Germany","","","",""
"Yes","2016","no degree/no degree yet","West Germany","","","",""
"Yes","2016","no degree/no degree yet","East Germany","","","",""
"Yes","2017","lower secondary degree","West Germany","1700","1","1","1"
"Yes","2017","lower secondary degree","East Germany","450","1","1","1"
"Yes","2017","secondary school degree","West Germany","1190","1","1","1"
"Yes","2017","secondary school degree","East Germany","881","1","1","1"
"Yes","2017","college entrance qualification","West Germany","1129","1","1","1"
"Yes","2017","college entrance qualification","East Germany","334","1","1","1"
"Yes","2017","Other degree","West Germany","526","1","1","1"
"Yes","2017","Other degree","East Germany","58","1","1","1"
"Yes","2017","no degree/no degree yet","West Germany","103","1","1","1"
"Yes","2017","no degree/no degree yet","East Germany","20","","",""
"Yes","2018","lower secondary degree","West Germany","","","",""
"Yes","2018","lower secondary degree","East Germany","","","",""
"Yes","2018","secondary school degree","West Germany","","","",""
"Yes","2018","secondary school degree","East Germany","","","",""
"Yes","2018","college entrance qualification","West Germany","","","",""
"Yes","2018","college entrance qualification","East Germany","","","",""
"Yes","2018","Other degree","West Germany","","","",""
"Yes","2018","Other degree","East Germany","","","",""
"Yes","2018","no degree/no degree yet","West Germany","","","",""
"Yes","2018","no degree/no degree yet","East Germany","","","",""
"Yes","2019","lower secondary degree","West Germany","1637","1","1","1"
"Yes","2019","lower secondary degree","East Germany","377","1","1","1"
"Yes","2019","secondary school degree","West Germany","1287","1","1","1"
"Yes","2019","secondary school degree","East Germany","905","1","1","1"
"Yes","2019","college entrance qualification","West Germany","1289","1","1","1"
"Yes","2019","college entrance qualification","East Germany","394","1","1","1"
"Yes","2019","Other degree","West Germany","492","1","1","1"
"Yes","2019","Other degree","East Germany","52","1","1","1"
"Yes","2019","no degree/no degree yet","West Germany","99","1","1","1"
"Yes","2019","no degree/no degree yet","East Germany","17","","",""
