"ple0018","year","pgcasmin","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","2009","(0) in school","West Germany","2","","",""
"Yes","2009","(0) in school","East Germany","","","",""
"Yes","2009","(1a) inadequately completed","West Germany","47","1","1","1"
"Yes","2009","(1a) inadequately completed","East Germany","4","","",""
"Yes","2009","(1b) general elementary school","West Germany","393","1","1","1"
"Yes","2009","(1b) general elementary school","East Germany","58","1","1","1"
"Yes","2009","(1c) basic vocational qualification","West Germany","1153","1","1","1"
"Yes","2009","(1c) basic vocational qualification","East Germany","427","1","1","1"
"Yes","2009","(2b) intermediate general qualification","West Germany","30","1","1","1"
"Yes","2009","(2b) intermediate general qualification","East Germany","11","","",""
"Yes","2009","(2a) intermediate vocational","West Germany","559","1","1","1"
"Yes","2009","(2a) intermediate vocational","East Germany","350","1","1","1"
"Yes","2009","(2c_gen) general maturity certificate","West Germany","33","1","1","1"
"Yes","2009","(2c_gen) general maturity certificate","East Germany","3","","",""
"Yes","2009","(2c_voc) vocational maturity certificate","West Germany","181","1","1","1"
"Yes","2009","(2c_voc) vocational maturity certificate","East Germany","36","1","1","1"
"Yes","2009","(3a) lower tertiary education","West Germany","216","1","1","1"
"Yes","2009","(3a) lower tertiary education","East Germany","204","1","1","1"
"Yes","2009","(3b) higher tertiary education","West Germany","358","1","1","1"
"Yes","2009","(3b) higher tertiary education","East Germany","168","1","1","1"
"Yes","2010","(0) in school","West Germany","","","",""
"Yes","2010","(0) in school","East Germany","","","",""
"Yes","2010","(1a) inadequately completed","West Germany","","","",""
"Yes","2010","(1a) inadequately completed","East Germany","","","",""
"Yes","2010","(1b) general elementary school","West Germany","","","",""
"Yes","2010","(1b) general elementary school","East Germany","","","",""
"Yes","2010","(1c) basic vocational qualification","West Germany","","","",""
"Yes","2010","(1c) basic vocational qualification","East Germany","","","",""
"Yes","2010","(2b) intermediate general qualification","West Germany","","","",""
"Yes","2010","(2b) intermediate general qualification","East Germany","","","",""
"Yes","2010","(2a) intermediate vocational","West Germany","","","",""
"Yes","2010","(2a) intermediate vocational","East Germany","","","",""
"Yes","2010","(2c_gen) general maturity certificate","West Germany","","","",""
"Yes","2010","(2c_gen) general maturity certificate","East Germany","","","",""
"Yes","2010","(2c_voc) vocational maturity certificate","West Germany","","","",""
"Yes","2010","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Yes","2010","(3a) lower tertiary education","West Germany","","","",""
"Yes","2010","(3a) lower tertiary education","East Germany","","","",""
"Yes","2010","(3b) higher tertiary education","West Germany","","","",""
"Yes","2010","(3b) higher tertiary education","East Germany","","","",""
"Yes","2011","(0) in school","West Germany","2","","",""
"Yes","2011","(0) in school","East Germany","","","",""
"Yes","2011","(1a) inadequately completed","West Germany","65","1","1","1"
"Yes","2011","(1a) inadequately completed","East Germany","8","","",""
"Yes","2011","(1b) general elementary school","West Germany","476","1","1","1"
"Yes","2011","(1b) general elementary school","East Germany","68","1","1","1"
"Yes","2011","(1c) basic vocational qualification","West Germany","1431","1","1","1"
"Yes","2011","(1c) basic vocational qualification","East Germany","455","1","1","1"
"Yes","2011","(2b) intermediate general qualification","West Germany","62","1","1","1"
"Yes","2011","(2b) intermediate general qualification","East Germany","9","","",""
"Yes","2011","(2a) intermediate vocational","West Germany","702","1","1","1"
"Yes","2011","(2a) intermediate vocational","East Germany","450","1","1","1"
"Yes","2011","(2c_gen) general maturity certificate","West Germany","57","1","1","1"
"Yes","2011","(2c_gen) general maturity certificate","East Germany","7","","",""
"Yes","2011","(2c_voc) vocational maturity certificate","West Germany","229","1","1","1"
"Yes","2011","(2c_voc) vocational maturity certificate","East Germany","46","1","1","1"
"Yes","2011","(3a) lower tertiary education","West Germany","222","1","1","1"
"Yes","2011","(3a) lower tertiary education","East Germany","240","1","1","1"
"Yes","2011","(3b) higher tertiary education","West Germany","453","1","1","1"
"Yes","2011","(3b) higher tertiary education","East Germany","199","1","1","1"
"Yes","2012","(0) in school","West Germany","","","",""
"Yes","2012","(0) in school","East Germany","","","",""
"Yes","2012","(1a) inadequately completed","West Germany","","","",""
"Yes","2012","(1a) inadequately completed","East Germany","","","",""
"Yes","2012","(1b) general elementary school","West Germany","","","",""
"Yes","2012","(1b) general elementary school","East Germany","","","",""
"Yes","2012","(1c) basic vocational qualification","West Germany","","","",""
"Yes","2012","(1c) basic vocational qualification","East Germany","","","",""
"Yes","2012","(2b) intermediate general qualification","West Germany","","","",""
"Yes","2012","(2b) intermediate general qualification","East Germany","","","",""
"Yes","2012","(2a) intermediate vocational","West Germany","","","",""
"Yes","2012","(2a) intermediate vocational","East Germany","","","",""
"Yes","2012","(2c_gen) general maturity certificate","West Germany","","","",""
"Yes","2012","(2c_gen) general maturity certificate","East Germany","","","",""
"Yes","2012","(2c_voc) vocational maturity certificate","West Germany","","","",""
"Yes","2012","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Yes","2012","(3a) lower tertiary education","West Germany","","","",""
"Yes","2012","(3a) lower tertiary education","East Germany","","","",""
"Yes","2012","(3b) higher tertiary education","West Germany","","","",""
"Yes","2012","(3b) higher tertiary education","East Germany","","","",""
"Yes","2013","(0) in school","West Germany","5","","",""
"Yes","2013","(0) in school","East Germany","1","","",""
"Yes","2013","(1a) inadequately completed","West Germany","49","1","1","1"
"Yes","2013","(1a) inadequately completed","East Germany","9","","",""
"Yes","2013","(1b) general elementary school","West Germany","443","1","1","1"
"Yes","2013","(1b) general elementary school","East Germany","57","1","1","1"
"Yes","2013","(1c) basic vocational qualification","West Germany","1421","1","1","1"
"Yes","2013","(1c) basic vocational qualification","East Germany","455","1","1","1"
"Yes","2013","(2b) intermediate general qualification","West Germany","72","1","1","1"
"Yes","2013","(2b) intermediate general qualification","East Germany","7","","",""
"Yes","2013","(2a) intermediate vocational","West Germany","749","1","1","1"
"Yes","2013","(2a) intermediate vocational","East Germany","529","1","1","1"
"Yes","2013","(2c_gen) general maturity certificate","West Germany","65","1","1","1"
"Yes","2013","(2c_gen) general maturity certificate","East Germany","6","","",""
"Yes","2013","(2c_voc) vocational maturity certificate","West Germany","270","1","1","1"
"Yes","2013","(2c_voc) vocational maturity certificate","East Germany","53","1","1","1"
"Yes","2013","(3a) lower tertiary education","West Germany","262","1","1","1"
"Yes","2013","(3a) lower tertiary education","East Germany","248","1","1","1"
"Yes","2013","(3b) higher tertiary education","West Germany","497","1","1","1"
"Yes","2013","(3b) higher tertiary education","East Germany","212","1","1","1"
"Yes","2014","(0) in school","West Germany","","","",""
"Yes","2014","(0) in school","East Germany","","","",""
"Yes","2014","(1a) inadequately completed","West Germany","","","",""
"Yes","2014","(1a) inadequately completed","East Germany","","","",""
"Yes","2014","(1b) general elementary school","West Germany","","","",""
"Yes","2014","(1b) general elementary school","East Germany","","","",""
"Yes","2014","(1c) basic vocational qualification","West Germany","","","",""
"Yes","2014","(1c) basic vocational qualification","East Germany","","","",""
"Yes","2014","(2b) intermediate general qualification","West Germany","","","",""
"Yes","2014","(2b) intermediate general qualification","East Germany","","","",""
"Yes","2014","(2a) intermediate vocational","West Germany","","","",""
"Yes","2014","(2a) intermediate vocational","East Germany","","","",""
"Yes","2014","(2c_gen) general maturity certificate","West Germany","","","",""
"Yes","2014","(2c_gen) general maturity certificate","East Germany","","","",""
"Yes","2014","(2c_voc) vocational maturity certificate","West Germany","","","",""
"Yes","2014","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Yes","2014","(3a) lower tertiary education","West Germany","","","",""
"Yes","2014","(3a) lower tertiary education","East Germany","","","",""
"Yes","2014","(3b) higher tertiary education","West Germany","","","",""
"Yes","2014","(3b) higher tertiary education","East Germany","","","",""
"Yes","2015","(0) in school","West Germany","4","","",""
